Iteration,four_corners_50_n4_human,four_corners_50_n4,four_corners_50_n8_human,four_corners_50_n8,non_n4_four_corners_50_1,non_n4_four_corners_50_2,non_n4_four_corners_50_3,human_n4_four_corners_50_1,human_n4_four_corners_50_2,human_n4_four_corners_50_3,non_n8_four_corners_50_1,non_n8_four_corners_50_2,non_n8_four_corners_50_3,human_n8_four_corners_50_1,human_n8_four_corners_50_2,human_n8_four_corners_50_3
59,957875131,958997612.5,289949822.2,291537676.6,546812691.7,2314916195,2456915853,679081134.6,4228706609,638235198.3,336470001.3,335246043.7,346788450.8,291973740.2,333522399.8,334810602.6
60,957875131,958997612.5,289949822.2,291537676.6,546812691.7,806430002.6,773941213.4,679081134.6,692506735.7,638235198.3,336470001.3,332833051.1,346788450.8,291973740.2,333522399.8,334810602.6
61,957875131,958997612.5,289949822.2,291537676.6,546812691.7,768530771.2,738649613,679081134.6,667149185.6,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
62,957875131,958997612.5,289949822.2,291537676.6,546812691.7,738429418.6,706032450.9,679081134.6,653975467.5,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
63,957875131,958997612.5,289949822.2,291537676.6,546812691.7,723596222.2,690693607.4,679081134.6,641670425.5,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
64,957875131,958997612.5,289949822.2,291537676.6,546812691.7,707864442.6,684694643.5,679081134.6,629421112.6,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
65,957875131,958997612.5,289949822.2,291537676.6,546812691.7,691926856.9,677905415.4,679081134.6,625674446.1,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
66,957875131,958997612.5,289949822.2,291537676.6,546812691.7,666391360.6,677905415.4,679081134.6,612433508,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
67,957875131,958997612.5,289949822.2,291537676.6,546812691.7,648941536.6,677905415.4,679081134.6,584647443.7,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
68,957875131,958997612.5,289949822.2,291537676.6,546812691.7,640135766.6,677905415.4,679081134.6,559085457,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
69,957875131,958997612.5,289949822.2,291537676.6,546812691.7,640135766.6,677905415.4,679081134.6,547267340.6,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
70,957875131,958997612.5,289949822.2,291537676.6,546812691.7,640135766.6,677905415.4,679081134.6,544813499.5,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
71,957875131,958997612.5,289949822.2,291537676.6,546812691.7,640135766.6,677905415.4,679081134.6,544476127.4,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
72,957875131,958997612.5,289949822.2,291537676.6,546812691.7,640135766.6,677905415.4,679081134.6,544476127.4,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
73,957875131,958997612.5,289949822.2,291537676.6,546812691.7,640135766.6,677905415.4,679081134.6,544476127.4,638235198.3,336470001.3,334144504.9,346788450.8,291973740.2,333522399.8,334810602.6
