X,Y,Means,Confidence
0.28,0.6,0.52729,0
0.28,0.62,0.51266,0
0.28,0.64,0.47438,0
0.28,0.66,0.42712,0
0.28,0.68,0.38893,0
0.28,0.7,0.37431,0
0.28,0.72,0.38875,0
0.28,0.74,0.42653,0
0.28,0.76,0.47277,0
0.28,0.78,0.50864,0
0.28,0.8,0.51798,0
0.28,0.82,0.49274,0
0.28,0.84,0.43505,0
0.28,0.86,0.35547,0
0.28,0.88,0.26841,0
0.28,0.9,0.18718,0
0.28,0.92,0.12052,0
0.28,0.94,0.071633,0
0.28,0.96,0.039291,0
0.28,0.98,0.01988,0
0.3,0.02,0.01387,0
0.3,0.04,0.027413,0
0.3,0.06,0.049977,0
0.3,0.08,0.084085,0
0.3,0.1,0.13059,0
0.3,0.12,0.18726,0
0.3,0.14,0.248,0
0.3,0.16,0.30353,0
0.3,0.18,0.34377,0
0.3,0.2,0.36138,0
0.3,0.22,0.35486,0
0.3,0.24,0.32984,0
0.3,0.26,0.29758,0
0.3,0.28,0.27122,0
0.3,0.3,0.26115,0
0.3,0.32,0.27135,0
0.3,0.34,0.29799,0
0.3,0.36,0.33096,0
0.3,0.38,0.35767,0
0.3,0.4,0.36788,0
0.3,0.42,0.35767,0
0.3,0.44,0.33096,0
0.3,0.46,0.29799,0
0.3,0.48,0.27136,0
0.3,0.5,0.26119,0
0.3,0.52,0.27136,0
0.3,0.54,0.29799,0
0.3,0.56,0.33096,0
0.3,0.58,0.35767,0
0.3,0.6,0.36788,0
0.3,0.62,0.35767,0
0.3,0.64,0.33096,0
0.3,0.66,0.29799,0
0.3,0.68,0.27135,0
0.3,0.7,0.26115,0
0.3,0.72,0.27122,0
0.3,0.74,0.29758,0
0.3,0.76,0.32984,0
0.3,0.78,0.35486,0
0.3,0.8,0.36138,0
0.3,0.82,0.34377,0
0.3,0.84,0.30353,0
0.3,0.86,0.248,0
0.3,0.88,0.18726,0
0.3,0.9,0.13059,0
0.3,0.92,0.084085,0
0.3,0.94,0.049977,0
0.3,0.96,0.027413,0
0.3,0.98,0.01387,0
0.32,0.02,0.0089327,0
0.32,0.04,0.017655,0
0.32,0.06,0.032187,0
0.32,0.08,0.054154,0
0.32,0.1,0.084107,0
0.32,0.12,0.1206,0
0.32,0.14,0.15972,0
0.32,0.16,0.19548,0
0.32,0.18,0.2214,0
0.32,0.2,0.23274,0
0.32,0.22,0.22854,0
0.32,0.24,0.21243,0
0.32,0.26,0.19165,0
0.32,0.28,0.17467,0
0.32,0.3,0.16819,0
0.32,0.32,0.17476,0
0.32,0.34,0.19192,0
0.32,0.36,0.21315,0
0.32,0.38,0.23035,0
0.32,0.4,0.23693,0
0.32,0.42,0.23035,0
0.32,0.44,0.21315,0
0.32,0.46,0.19192,0
0.32,0.48,0.17476,0
0.32,0.5,0.16822,0
0.32,0.52,0.17476,0
0.32,0.54,0.19192,0
0.32,0.56,0.21315,0
0.32,0.58,0.23035,0
0.32,0.6,0.23693,0
0.32,0.62,0.23035,0
0.32,0.64,0.21315,0
0.32,0.66,0.19192,0
0.32,0.68,0.17476,0
0.32,0.7,0.16819,0
0.32,0.72,0.17467,0
0.32,0.74,0.19165,0
0.32,0.76,0.21243,0
0.32,0.78,0.22854,0
0.32,0.8,0.23274,0
0.32,0.82,0.2214,0
0.32,0.84,0.19548,0
0.32,0.86,0.15972,0
0.32,0.88,0.1206,0
0.32,0.9,0.084107,0
0.32,0.92,0.054154,0
0.32,0.94,0.032187,0
0.32,0.96,0.017655,0
0.32,0.98,0.0089327,0
0.34,0.02,0.0053107,0
0.34,0.04,0.010496,0
0.34,0.06,0.019136,0
0.34,0.08,0.032196,0
0.34,0.1,0.050003,0
0.34,0.12,0.071702,0
0.34,0.14,0.094958,0
0.34,0.16,0.11622,0
0.34,0.18,0.13163,0
0.34,0.2,0.13837,0
0.34,0.22,0.13587,0
0.34,0.24,0.12629,0
0.34,0.26,0.11394,0
0.34,0.28,0.10385,0
0.34,0.3,0.099992,0
0.34,0.32,0.1039,0
0.34,0.34,0.1141,0
0.34,0.36,0.12672,0
0.34,0.38,0.13695,0
0.34,0.4,0.14086,0
0.34,0.42,0.13695,0
0.34,0.44,0.12672,0
0.34,0.46,0.1141,0
0.34,0.48,0.1039,0
0.34,0.5,0.10001,0
0.34,0.52,0.1039,0
0.34,0.54,0.1141,0
0.34,0.56,0.12672,0
0.34,0.58,0.13695,0
0.34,0.6,0.14086,0
0.34,0.62,0.13695,0
0.34,0.64,0.12672,0
0.34,0.66,0.1141,0
0.34,0.68,0.1039,0
0.34,0.7,0.099992,0
0.34,0.72,0.10385,0
0.34,0.74,0.11394,0
0.34,0.76,0.12629,0
0.34,0.78,0.13587,0
0.34,0.8,0.13837,0
0.34,0.82,0.13163,0
0.34,0.84,0.11622,0
0.34,0.86,0.094958,0
0.34,0.88,0.071702,0
0.34,0.9,0.050003,0
0.34,0.92,0.032196,0
0.34,0.94,0.019136,0
0.34,0.96,0.010496,0
0.34,0.98,0.0053107,0
0.36,0.02,0.0029145,0
0.36,0.04,0.0057604,0
0.36,0.06,0.010502,0
0.36,0.08,0.017669,0
0.36,0.1,0.027442,0
0.36,0.12,0.039351,0
0.36,0.14,0.052114,0
0.36,0.16,0.063782,0
0.36,0.18,0.072239,0
0.36,0.2,0.075939,0
0.36,0.22,0.07457,0
0.36,0.24,0.069312,0
0.36,0.26,0.062533,0
