X,Y,Means,Confidence
170,190,0.56622,0
170,200,0.55265,0
170,210,0.53513,0
170,220,0.50994,0
170,230,0.4737,0
170,240,0.42642,0
180,50,0.43875,0
180,60,0.49499,0
180,70,0.54069,0
180,80,0.57423,0
180,90,0.59755,0
180,100,0.61328,0
180,110,0.62326,0
180,120,0.62855,0
180,130,0.62986,0
180,140,0.62784,0
180,150,0.62314,0
180,160,0.61632,0
180,170,0.60779,0
180,180,0.59777,0
180,190,0.58605,0
180,200,0.57171,0
180,210,0.55264,0
180,220,0.52552,0
180,230,0.48739,0
180,240,0.4386,0
190,50,0.42096,0
190,60,0.47299,0
190,70,0.51712,0
190,80,0.55195,0
190,90,0.57882,0
190,100,0.59961,0
190,110,0.61555,0
190,120,0.62721,0
190,130,0.63489,0
190,140,0.63886,0
190,150,0.63937,0
190,160,0.63667,0
190,170,0.63097,0
190,180,0.62234,0
190,190,0.6106,0
190,200,0.595,0
190,210,0.57373,0
190,220,0.54389,0
190,230,0.50302,0
190,240,0.4519,0
200,50,0.40526,0
200,60,0.45396,0
200,70,0.49718,0
200,80,0.53369,0
200,90,0.56438,0
200,100,0.59046,0
200,110,0.61261,0
200,120,0.63096,0
200,130,0.64538,0
200,140,0.65569,0
200,150,0.66173,0
200,160,0.66339,0
200,170,0.66059,0
200,180,0.65328,0
200,190,0.64127,0
200,200,0.62395,0
200,210,0.5998,0
200,220,0.56639,0
200,230,0.52175,0
200,240,0.46718,0
210,50,0.39206,0
210,60,0.43846,0
210,70,0.48152,0
210,80,0.5202,0
210,90,0.55499,0
210,100,0.58661,0
210,110,0.61524,0
210,120,0.64057,0
210,130,0.66205,0
210,140,0.67902,0
210,150,0.69089,0
210,160,0.69712,0
210,170,0.69735,0
210,180,0.69131,0
210,190,0.67882,0
210,200,0.65938,0
210,210,0.63176,0
210,220,0.5939,0
210,230,0.54436,0
210,240,0.48504,0
220,50,0.38136,0
220,60,0.42651,0
220,70,0.47017,0
220,80,0.51148,0
220,90,0.55068,0
220,100,0.58805,0
220,110,0.62336,0
220,120,0.65592,0
220,130,0.68471,0
220,140,0.70862,0
220,150,0.72656,0
220,160,0.73757,0
220,170,0.74093,0
220,180,0.73619,0
220,190,0.72309,0
220,200,0.70126,0
220,210,0.66966,0
220,220,0.62657,0
220,230,0.57104,0
220,240,0.50564,0
230,50,0.37285,0
230,60,0.41765,0
230,70,0.46257,0
230,80,0.50692,0
230,90,0.55072,0
230,100,0.59395,0
230,110,0.63604,0
230,120,0.67592,0
230,130,0.71215,0
230,140,0.74315,0
230,150,0.76732,0
230,160,0.78326,0
230,170,0.78987,0
230,180,0.78648,0
230,190,0.77276,0
230,200,0.74838,0
230,210,0.71248,0
230,220,0.66359,0
230,230,0.60118,0
230,240,0.52853,0
240,50,0.36595,0
240,60,0.4111,0
240,70,0.45775,0
240,80,0.50533,0
240,90,0.55376,0
240,100,0.60278,0
240,110,0.65154,0
240,120,0.69863,0
240,130,0.74221,0
240,140,0.78024,0
240,150,0.81063,0
240,160,0.83152,0
240,170,0.84145,0
240,180,0.8395,0
240,190,0.82523,0
240,200,0.79835,0
240,210,0.75808,0
240,220,0.70312,0
240,230,0.63328,0
240,240,0.55262,0
250,50,0.35994,0
250,60,0.40587,0
250,70,0.45444,0
250,80,0.50522,0
250,90,0.55804,0
250,100,0.6125,0
250,110,0.66752,0
250,120,0.7214,0
250,130,0.77194,0
250,140,0.81664,0
250,150,0.853,0
250,160,0.87869,0
250,170,0.89191,0
250,180,0.89148,0
250,190,0.87683,0
250,200,0.84767,0
250,210,0.80327,0
250,220,0.74238,0
250,230,0.6651,0
250,240,0.57624,0
260,50,0.35406,0
260,60,0.40088,0
